개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,소재지우편번호,도로명우편번호,사업장명,데이터갱신구분,데이터갱신시점,도로명주소,상세영업상태명,상세영업상태코드,승려수,신도수,영업상태코드,유래연혁,전통사찰명,전화번호,좌표정보(X),좌표정보(Y),지번주소,지정취소,지정취소사유,지정취소일자,창립연대,최종수정시점
3000000,CDFD1010,1996-12-04,,영업/정상,,,,,,금선사,I,2026-05-11 22:37:02,,승인,07,0,0,01,조선초(1327-1405) 무학자초가 조선의 수도를 정하고자 각처를 다니다가 창건,금선사,,195821.879248356    ,457532.00485417     ,서울특별시 종로구 구기동 196-2 ,N,,,,2024-09-28 09:13:41
3000000,CDFD1008,1988-07-25,,영업/정상,,,,,,인왕사,I,2026-05-11 22:37:02,,지정,05,0,0,01,"고려 공민왕때 무학스님이 창건
 병자호란때 멸실 1900년대 이해명 스님이 중건
 현재 위치는 확실치 않다",인왕사,,,,서울특별시 종로구 무악동 산 3 ,N,,,,2012-01-10 19:02:16
3000000,CDFD1007,1989-12-14,,영업/정상,,,,,,감로암,I,2026-05-11 22:37:02,서울특별시 종로구 율곡로23길 16  (충신동),지정,05,0,0,01,"이름을 알수없는 스님이 1927년 관음도량으로 알려짐 이후 혜란 이라는 비구니 스님을 거쳐
 오늘에 이름",감로암,,200516.095441559    ,452559.360165863    ,서울특별시 종로구 충신동 15 ,N,,,,2012-01-10 19:01:26
3000000,CDFD1006,1988-12-14,,영업/정상,,,,,,문수사,I,2026-05-11 22:37:01,서울특별시 종로구 비봉2길 304  (구기동),지정,05,0,0,01,"예종 4년 탄연국사가 창건 
 1451년(문종 1년) 연창공주가 중건",문수사,,197516.181020308    ,458773.766071163    ,서울특별시 종로구 구기동 2 ,N,,,,2012-01-10 18:48:42
3000000,CDFD1005,1988-07-25,,영업/정상,,,,,,청용사,I,2026-05-11 22:37:01,,승인,07,0,0,01,"고려태조 5년(922녀) 도선국사의 유언으로 태조의 어명에의거 창건
 안양의 의정룡 산능에 지엇다하여 청룡사로 하였으며 제1대 주지 혜원 비구니를 임명
 우산국 통일 기도를 올리게 하였고 조선조 태조의 즉위후 공민왕비 에비가 청룡사에 출가 하였 고 그리고 조선조 세조 2년(1456) 단종의 비 송씨가 우와부에서 단종을 이별 하고 출가 이곳에 서 65년간 살았으며 그 후 영조때 정업원 구기비가 세워졌고 해방 이후 윤오비구니가 대대적으 로 중창함",청용사,,201410.859114101    ,453067.82734527     ,서울특별시 종로구 숭인동 17-1 ,N,,,,2017-08-25 10:08:24
3000000,CDFD1004,1988-07-25,,영업/정상,,,,,,소림사,I,2026-05-11 22:37:01,,승인,07,0,0,01,"조선태조 5년(1396년) 혜철화상이 태조의 명에 의거 창건하여 소림굴이라 하였고 
 1817년(순조때) 관해스님이 중건 하였으며 현 대웅전은 1970년 5월에 중건
 1978년 현재 주지 혜윤 스님이 부임",소림사,,196300.203464322    ,455463.787019164    ,서울특별시 종로구 홍지동 80-1 ,N,,,,2016-12-13 16:02:18
3000000,CDFD1003,1988-07-25,,영업/정상,,,,,,대각사,I,2026-05-11 22:37:00,,승인,07,0,0,01,"1911년 4월8일 백용성 대선사가 창건
1921년 삼장의 조직 한글로 경전을 대대적으로 번역 흥보 대각교 창립
1928년 4.5 대각일요학교 설립 삼상학회 기관지 우아 간행
1965년 9.11 문교부에 종교법인 재단법인 대각사로 인가",대각사,,199230.47059495     ,452374.064148799    ,서울특별시 종로구 봉익동 2 ,N,,,,2017-12-07 09:11:24
3000000,CDFD1002,1988-07-25,,영업/정상,,,,,,조계사,I,2026-05-11 22:36:59,,승인,07,0,0,01,"1910년 한용운 이수길 이희광 스님 등에의해 각황사라는 이름으로 창건
1938년 총본산 낙성과함께 태고사라 부름
1954년 조개사로 개칭",조계사,,198369.673994286    ,452399.957460173    ,서울특별시 종로구 견지동 45 ,N,,,,2014-06-02 14:14:16
3000000,CDFD1001,1988-07-25,,영업/정상,,,,,,승가사,I,2026-05-11 22:36:58,서울특별시 종로구 비봉4길 213 (구기동),승인,07,0,0,01,"신라경덕왕 15년에 수태성사가 창건
국란 예방을위한 기도 도량으로 의한 성지",승가사,,196450.832657496    ,458289.083133194    ,서울특별시 종로구 구기동 산 1 ,N,,,,2025-09-02 12:17:21
3000000,CDFD1012,2005-12-27,,영업/정상,,,,,,안양암,I,2026-05-11 22:37:02,,승인,07,0,0,01,,안양암,027634100,201109.784838676    ,452572.625048854    ,서울특별시 종로구 창신동 130-1 ,N,,,,2022-07-06 17:54:45
3000000,CDFD1011,2001-10-22,,영업/정상,,,,,,묘각사,I,2026-05-11 22:37:02,서울특별시 종로구 종로63가길 31  (숭인동),지정,05,0,0,01,"1930년 5월에 태허 홍선대종사님이 창건하여 고려시대의 불상으로 추정되는 철조여래좌상과
 조선전기의 청동여래좌상을 모시고 승려 5분과 신도 3,700세대가 불사중",묘각사,,201587.492865052    ,452579.450962134    ,서울특별시 종로구 숭인동 178-3 ,N,,,,2012-01-10 19:03:54
3000000,CDFD1009,1989-11-08,,영업/정상,,,,,,일선사,I,2026-05-11 22:37:02,서울특별시 종로구 평창6길 79-141  (평창동),승인,07,0,0,01,"827-898년 도선국사가 창건
 고려 탄연묵암 대선사(1070-1159) 중창
 이조 자초 무학왕(1327-1405) 함허득 통선사 주석함
 제 1차 불교정화때 탄허 큰스님 주석 시인 고은(일초) 주석함
 석정덕 스님 수호가람 중창불사(1966-1997)",일선사,,197665.348592744    ,457781.709134795    ,서울특별시 종로구 평창동 산 6-1 ,N,,,,2010-04-12 17:22:12
3030000,CDFD1001,1989-04-04,,영업/정상,,,,,,미타사,I,2026-05-10 22:31:44,,지정,05,0,0,01,"- 신라 진성여왕 2년 (서기 888년) 현 금호동에 대원 비구니스님 창건
- 고려 예종 10년(서기 1115년) 봉적, 만보 두 비구니 스님이 현재의 종남산으로 옮겨 극락전을 창건하고
   아미타불을 본존불로 모시고 담진국사로부터 미타사라는 사명을 명명받음
- 이조 태조(서기 1394년) 갑술4월 무학대사가 현 소재지로 이전 중창
- 이조 철종 13년(서기 1862년) 임술3월에 인허화상이 화주로 자전하여 당시 조대비의 하사금으로
  중건하여 현재에 이르며
- 900년이 흐른 지금까지 유일하게 비구니 수도 도장으로 승계되고 있음",미타사,0222973360,,,서울특별시 성동구 옥수동 395 ,N,,,,2012-12-18 17:54:27
3040000,CDFD1001,1989-04-04,,영업/정상,,,,,04948,영화사,U,2026-06-26 03:03:03,"서울특별시 광진구 영화사로 107, 영화사 (구의동)",지정,05,,10000,01,"- 672년(문무왕 12년) 통일신라 승려 의상이 '화양사' 창건
- 1907년 現 위치로 이전하며 '영화사'로 명칭 변경",영화사,024444321,208629.252014803    ,450229.415475485    ,서울특별시 광진구 구의동 9 영화사 ,N,,,,2026-06-25 15:32:36
3050000,CDFD1002,2005-03-29,,영업/정상,,,,,,연화사,I,2026-05-10 22:31:57,,승인,07,5,6000,01,연산군의 생모 폐비 윤씨의 회묘를 회릉으로 승격시키면서 능의 원찰로 출발한 연화사는 1882년 임오군란 때 불타버린것을 1993년 현대적 기술로 재건하였다.,연화사,,204383.065062337    ,454663.990323597    ,서울특별시 동대문구 회기동 109-1 ,N,,,,2023-12-11 19:42:44
3050000,CDFD1001,1988-12-01,,영업/정상,,,,,,청량사,I,2026-05-10 22:31:57,,승인,07,20,1500,01,,청량사,,204113.679818772    ,453983.762426676    ,서울특별시 동대문구 청량리동 61 ,N,,,,2024-12-24 17:50:13
3070000,CDFD1010,2006-01-05,,영업/정상,,,,,,적조사,I,2026-05-10 22:06:53,서울특별시 성북구 흥천사길 49-23  (돈암동),지정,05,0,0,01,,적조사,,200574.351286685    ,455118.721872189    ,서울특별시 성북구 돈암동 593 ,N,,,,2006-01-05 13:50:03
3070000,CDFD1007,1988-11-26,,영업/정상,,,,,,보문사,I,2026-05-10 22:06:53,,지정,05,73,30500,01,"보문사(普門寺)는 '탑골승방'이라는 옛 사찰이름으로 더욱 잘 알려져 있는 곳으로, 이전에는 조계종 소속 사찰이었으나 1972년 세계 유일의 비구니종단인 보문종(普門宗)을 창종하면서 보문종의 본산이 되었다. 이 절은 고려 예종 10년(1115)에 담진(曇眞) 스님 즉,혜조국사(慧照國師)에 의하여 창건된 것으로 전승되어 오는데 조선 후기 숙종 18년 (1692)에 묘첨 스님이 대웅전을 중건하였고, 영조 33년 (1757)에 보찬, 유봉 스님이 대웅전을 수축하였다. 순조 26년(1826)에 정운(正雲)스님이 좌우승당(左右僧堂)을 개축하였으며 헌종8년(1842)에 영전 스님이 또 다시 대웅전을 수축하였다. 일제 강점기에는 절이 황폐할 지경에 이르렀는데 광복과 함께 주지 송은영(宋恩榮)이 취임하면서 30여년간을 불사(佛事)의 중흥과 건물 중창에 전심하여 대사찰의 면모을 갖추었다.",보문사,,,,서울특별시 성북구 보문동3가 168호,N,,,,2006-06-27 10:37:17
3070000,CDFD1009,1993-02-25,,영업/정상,,,,,,정법사,I,2026-05-10 22:06:53,,지정,05,0,0,01,정법사는 원래 종로구 가회동에 있던 건봉사(乾鳳寺) 포교당이었는데 1960년 이곳의 조그만 암자인 복전암(福田庵)으로 이전하였다. 즉 정법사가 위치한 가회동은 수행처로 적합한 분위기가 아니었으므로 이 암자를 인수하여 정법사로 개칭한 것이다. 이곳에 있었던 복전암이 언제 어떻게 창건되었는지는 알려진 바가 없다. 다만 현재 정법사에 봉안되어 있는 범종과 열반도(涅槃圖)가 1922년에 제작된 것임을 확인 할 수 있는데 이들이 복전암의 유물이라는 점을 추측 할 수 있다. 정법사 부근의 요정 대원각이 전일에 후궁 터였다는 점에서 복전암이 후궁들의 기도처였던 것은 아닐까 추측된다. 정법사는 대웅전·팔상전·사천왕문·산신각·요사3동 등 7채의 건물 외에 미륵불상이 세워져 있다. 대웅전은 정법사가 이전해 올 당시 서대문 신학대학에 있던 황태자궁을 이전해 온 것이다. 내부에는 석가모니불·지장·관음 등의 불상과 1918년에 그려진 열반도·후불탱화·현왕탱화 등이 있다. 1969년에 건립된 팔상전 내부에는 석가모니불과 청동으로 만든 천불상이 봉안되어 있다.,정법사,,198888.209911699    ,454622.457968864    ,서울특별시 성북구 성북동 2동 330-76호 ,N,,,,2003-05-26 13:55:21
3070000,CDFD1008,1992-02-06,,영업/정상,,,,,,적조사,I,2026-05-10 22:06:53,,승인,07,3,1000,01,"적조사(寂照寺)의 창건은 1849년(헌종 15)에 이루어졌다. 흥천사(興天寺)의 사내 암자 성격으로 혜암 성혜(性慧)스님이 창건한 것이다. 적조암은 본래 독립된 사찰로 세워졌던 곳이 아니기 때문에 전체적인 규모는 큰 편이 아니지만, 전형적인 암자의 틀을 잘 갖추고 있는 곳이라 하겠다. 아울러 이곳은 한국 현대불교사에서 뚜렷한 업적을 남긴 바 있는 경산(京山) 스님의 마지막 수행장소라는 사실로 인해 주목을 받는 곳이기도 하다.",적조사,,,,서울특별시 성북구 돈암동 593호,N,,,,2011-02-23 17:29:47
